occurrence_no,lng,lat,mid_ma
262348,9.540314,17.971214,112.75
262355,-0.033333,20.892221,119.25
262358,10.4,32.171944,96.55
266823,-112.933334,51.916668,63.8
272696,177.481384,-18.160833,0.06885
277455,-81.199997,26.500278,1.05
281682,-75.166664,39.783333,66.15
281683,-75.166664,39.783333,66.15
281684,-75.166664,39.783333,66.15
281707,-75.126999,39.762001,63.8
284122,77.866669,17.216667,68.3
284153,-109.567902,38.826099,136.35
285184,178.486496,-18.0602,0.00585
286254,-108.912781,42.369999,53.05
286255,-108.912781,42.369999,53.05
286256,-108.912781,42.369999,53.05
286257,-108.912781,42.369999,53.05
286295,-108.912781,42.369999,48.25
286296,-108.912781,42.369999,48.25
286297,-108.912781,42.369999,48.25
286298,-108.912781,42.369999,48.25
286368,-108.912781,42.369999,48.25
286369,-108.912781,42.369999,48.25
286370,-108.912781,42.369999,48.25
286371,-108.912781,42.369999,48.25
286789,-109,44.299999,53.05
286790,-109,44.299999,53.05
286791,-109,44.299999,53.05
286800,-109,44.299999,53.05
286807,-109,44.299999,53.05
286811,-109,44.299999,53.05
286816,-109,44.299999,53.05
286817,-109,44.299999,53.05
286824,-109,44.299999,53.05
286825,-109,44.299999,53.05
286829,-109,44.299999,53.05
286832,-109,44.299999,53.05
286837,-109,44.299999,53.05
286957,-109.087997,44.832298,53.05
286967,-100.033333,42.783333,14.785
287371,-103.800003,42.400002,14.785
287838,-77.400002,38.299999,53.05
287839,-82.5,27.700001,1.05
287859,-82.5,27.700001,1.05
287884,-93.400002,31,21.735
287885,-93.400002,31,21.735
287913,-104.366669,43.299999,68.3
287914,-104.366669,43.299999,68.3
287915,-104.366669,43.299999,68.3
288562,-111.48333,49.083332,84.65
288577,-103.51667,29.316668,77.05
288578,-103.51667,29.316668,77.05
289173,-75.650558,39.555,77.05
289344,-95,30.5,14.785
289599,-97.907219,32.270557,117.245
289600,-97.907219,32.270557,117.245
289601,-97.907219,32.270557,117.245
289635,-98.253334,32.003334,106.75
289652,-98.201942,32.220554,106.75
289716,-98.201942,32.220554,106.75
289720,-97.616669,33.283333,115.73
289735,-97.582741,33.500179,115.73
289806,-99.433334,27.533333,43.3
289807,-99.433334,27.533333,43.3
289827,-90.734718,35.011944,35.95
289897,-82.449997,27.366667,3.35
289910,-82.683334,27.783333,3.35
290159,-103.199997,29.200001,43.3
290160,-103.199997,29.200001,43.3
290161,-103.199997,29.200001,43.3
290162,-103.199997,29.200001,43.3
290467,-111.080833,35.759724,191
290478,-111.25,35.966667,191
290479,-111.25,35.966667,191
290483,-111.25,35.966667,191
290490,-111.25,35.966667,191
290492,-111.25,35.966667,191
291018,-104.491669,40.386391,68.3
291019,-104.491669,40.386391,68.3
291039,-108.934402,44.907501,59.25
293804,-1.880849,40.064526,127.725
294902,88.300003,22.833332,1.294
294955,-0.283333,40.816666,127.725
295285,-70.166672,-15.73333,53.5
295386,34.650002,2.533333,17.319
295393,34.714443,2.672222,17.319
296426,21.633333,50.933334,198.9
296751,-1.966667,50.599998,142.6
297020,34.233299,2.0833,19.5
297284,6.106141,43.606697,77.05
297285,6.106141,43.606697,77.05
297291,5.565626,43.534836,74.75
297298,2.783333,43.049999,68.3
297384,-1.966667,50.599998,142.6
297385,-1.966667,50.599998,142.6
297695,-2.634513,42.664555,77.05
298930,-2.634513,42.664555,77.05
298931,-2.634513,42.664555,77.05
299149,112.427498,43.83139,77.05
301091,-1.966667,50.599998,142.6
301108,-1.966667,50.599998,142.6
303814,73.183334,20.533333,42.9
303966,-1.8,51.985001,166.2
303967,-1.8,51.985001,166.2
304407,77.01667,30.966667,44.95
304826,-98.23333,32.233334,110.515
332795,0.133333,44.049999,14.895
337167,3.616667,43.616669,48.65
337354,3.766667,43.633331,44.55
337649,3.766667,43.650002,44.55
339303,36.349998,4.083333,1.6845
339304,36.349998,4.083333,1.6845
339364,-7.65,33.583332,3.094
339427,36.366669,4.066667,1.6845
339428,36.366669,4.066667,1.6845
339528,36.383331,4.133333,1.6845
339529,36.383331,4.133333,1.6845
340104,36.416668,4.183333,1.6845
340153,36.416668,4.15,1.6845
340154,36.416668,4.15,1.6845
340176,36.25,4.25,1.6845
340177,36.25,4.25,1.6845
340200,36.416668,4.15,1.6845
340476,36.433334,4.183333,1.6845
340577,36.417,4.183,2.1905
340590,36.417,4.183,2.1905
343919,-47.75111,-19.719999,68.3
348092,15.4,41.799999,8.4705
358656,36.049999,2.9,9.433
358657,36.049999,2.9,9.433
358658,36.049999,2.9,9.433
358660,36.049999,2.9,9.433
360083,36.049999,2.9,7.104
360084,36.049999,2.9,7.104
